2019-05-07 09:46:37.823 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:37.840 [http-bio-8001-exec-6] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 09:46:37.843 [http-bio-8001-exec-10] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 09:46:37.845 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all devices stored.
2019-05-07 09:46:37.977 [http-bio-8001-exec-6] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 09:46:37.981 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 09:46:37.978 [http-bio-8001-exec-10] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deviceMetadata correctly retrieved
2019-05-07 09:46:38.897 [http-bio-8001-exec-4] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:38.905 [http-bio-8001-exec-7] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:38.908 [http-bio-8001-exec-4] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:38.920 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 09:46:38.923 [http-bio-8001-exec-7] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 09:46:38.932 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
